006.0254	-72.0832	  104	 Gb	00 24.1	-72 05	s	Tuc	 	 30.9	 4.0	 	glob. cl.  !! vB, vL, vmCM                        	47 Tuc                             	  104	
187.7003	+12.4000	 4486	 Gx	12 30.8	+12 24	s	Vir	 	  7.2	 8.6	 	vB, vL, R, mbM, 3rd of 3; = M87                   	M  87                              	 4486	
188.0003	+14.4167	 4501	 Gx	12 32.0	+14 25	s	Com	 	  6.9	 9.5	 	B, vL, vmE; = M88                                 	M  88                              	 4501	
188.8503	+14.5000	 4548	 Gx	12 35.4	+14 30	s	Com	 	  5.4	10.2	 	B, L, lE, lbM; = M91                              	M  91                              	 4548	
188.9253	+12.5500	 4552	 Gx	12 35.7	+12 33	s	Vir	 	  4.2	 9.8	 	pB, pS, R, gmbM; = M89                            	M  89                              	 4552	
189.1253	+11.2500	 4567	 Gx	12 36.5	+11 15	s	Vir	 	  3.0	11.3	 	vF, L, np of Dneb (4568 at 160deg +/- )           	Siamese Twins                      	 4567	NGC 4567-8
189.1503	+11.2334	 4568	 Gx	12 36.6	+11 14	s	Vir	 	  4.6	10.8	 	vF, L, sf of Dneb                                 	Siamese Twins                      	 4568	NGC 4567-8
189.2003	+13.1667	 4569	 Gx	12 36.8	+13 10	s	Vir	 	  9.5	 9.5	 	pL, bMN; = M90                                    	M  90                              	 4569	
189.4253	+11.8167	 4579	 Gx	12 37.7	+11 49	s	Vir	 	  5.4	 9.8	 	B, L, iR, vmbM, r; = M58                          	M  58                              	 4579	
189.8753	-26.7500	 4590	 Gb	12 39.5	-26 45	s	Hya	 	 12.0	 8.2	 	glob. cl. , L, eRi, vC, iR, rrr, st 12; = M68     	M  68                              	 4590	
190.0003	-11.6167	 4594	 Gx	12 40.0	-11 37	s	Vir	 	  8.9	 8.3	 	!, vB, vL, eE 92deg , vsmbMN; = M104              	Sombrero galaxy                    	 4594	
190.0003	-11.6167	 4594	 Gx	12 40.0	-11 37	s	Vir	 	  8.9	 8.3	 	!, vB, vL, eE 92deg , vsmbMN; = M104              	M 104                              	 4594	
190.5003	+11.6500	 4621	 Gx	12 42.0	+11 39	s	Vir	 	  5.1	 9.8	 	B, pL, lE, vsvmbM, 2 st p; = M59                  	M  59                              	 4621	
190.9253	+11.5500	 4649	 Gx	12 43.7	+11 33	s	Vir	 	  7.2	 8.8	 	vB, pL, R, f of Dneb; = M60                       	M  60                              	 4649	
191.5253	+30.7334	 4676	 Gx	12 46.1	+30 44	s	Com	 	  2.8	14.0	p	vF, pmE; biN?                                     	The Mice                           	 4676	
192.7253	+41.1167	 4736	 Gx	12 50.9	+41 07	s	CVn	 	 11.0	 8.2	 	vB, L, iR, vsvmbMBN, r; = M94                     	M  94                              	 4736	
193.4003	-60.3334	 4755	 OC	12 53.6	-60 20	s	Cru	 	 10.0	 4.2	 	Cl, vL, st vB (kappa Cru)                         	kappa Cru cluster                  	 4755	(See Jewel Box)
193.4003	-60.3334	 4755	 OC	12 53.6	-60 20	s	Cru	 	 10.0	 4.2	 	Cl, vL, st vB (kappa Cru)                         	Jewel Box                          	 4755	
194.1753	+21.6834	 4826	 Gx	12 56.7	+21 41	s	Com	 	  9.3	 8.5	 	! vB, vL, vmE 120deg +/- , bMSBN; = M64           	M  64                              	 4826	
194.1753	+21.6834	 4826	 Gx	12 56.7	+21 41	s	Com	 	  9.3	 8.5	 	! vB, vL, vmE 120deg +/- , bMSBN; = M64           	Black-eye galaxy                   	 4826	
198.2253	+18.1667	 5024	 Gb	13 12.9	+18 10	s	Com	 	 12.6	 7.7	 	!, glob. cl. , B, vC, iR, vvmbM, st 12; = M53     	M  53                              	 5024	
198.9503	+42.0334	 5055	 Gx	13 15.8	+42 02	s	CVn	 	 12.3	 8.6	 	vB, L, pmE 120deg +/- , vsmbMBN; = M63            	Sunflower galaxy                   	 5055	
198.9503	+42.0334	 5055	 Gx	13 15.8	+42 02	s	CVn	 	 12.3	 8.6	 	vB, L, pmE 120deg +/- , vsmbMBN; = M63            	M  63                              	 5055	
201.7003	-47.4834	 5139	 Gb	13 26.8	-47 29	s	Cen	 	 36.3	 3.7	 	!!!, glob. cl. , omega Cen                        	omega Cen                          	 5139	
202.4753	+47.2001	 5194	 Gx	13 29.9	+47 12	s	CVn	 	 11.0	 8.4	 	!!!, great spiral neb M51                         	Whirlpool galaxy                   	 5194	NGC 5194-5
202.4753	+47.2001	 5194	 Gx	13 29.9	+47 12	s	CVn	 	 11.0	 8.4	 	!!!, great spiral neb M51                         	M  51                              	 5194	
202.5003	+47.2667	 5195	 Gx	13 30.0	+47 16	s	CVn	 	  5.4	 9.6	 	B, pS, lE, vgbM, inv in M51                       	Whirlpool galaxy                   	 5195	NGC 5194-5
202.5003	+47.2667	 5195	 Gx	13 30.0	+47 16	s	CVn	 	  5.4	 9.6	 	B, pS, lE, vgbM, inv in M51                       	M  51                              	 5195	
204.2503	-29.8667	 5236	 Gx	13 37.0	-29 52	s	Hya	 	 11.2	 7.6	 	!! vB, vL, E 55deg , esbMN, 3-br spir; = M83      	M  83                              	 5236	
205.5503	+28.3834	 5272	 Gb	13 42.2	+28 23	s	CVn	 	 16.2	 6.4	 	!!, glob. cl. , eB, vL, vsmbM, st 11...; = M3     	M   3                              	 5272	
210.8004	+54.3501	 5457	 Gx	14 03.2	+54 21	s	UMa	 	 26.9	 7.7	 	pB, vL, iR, g, vsmbMBSN; = M101                   	M 101                              	 5457	
229.6504	 +2.0833	 5904	 Gb	15 18.6	+02 05	s	Ser	 	 17.4	 5.8	 	!!, glob. cl. , vB, L, eCM, st 11...15; = M5      	M   5                              	 5904	
244.2504	-22.9833	 6093	 Gb	16 17.0	-22 59	s	Sco	 	  8.9	 7.2	 	!! glob. cl. , vB, L, vmbM (var*), rrr, st 14; = M	M  80                              	 6093	
245.9004	-26.5334	 6121	 Gb	16 23.6	-26 32	s	Sco	 	 26.3	 5.9	 	Cl, 8 or 10 B st line, with 5 st, rrr; = M4       	M   4                              	 6121	
246.4004	-23.4333	I4604	 Nb	16 25.6	-23 26	s	Oph	 	 60.0	    	 	rho Oph in eL neb                                 	rho Oph nebula                     	I4604	
248.1254	-13.0500	 6171	 Gb	16 32.5	-13 03	s	Oph	 	 10.0	 8.1	 	glob. cl. , L, vRi, vmC, R, rrr; = M107           	M 107                              	 6171	
250.4254	+36.4667	 6205	 Gb	16 41.7	+36 28	s	Her	 	 16.6	 5.9	 	!! glob. cl. , eB, vRi, vgeCM, st 11...; = M13    	M  13                              	 6205	
250.4254	+36.4667	 6205	 Gb	16 41.7	+36 28	s	Her	 	 16.6	 5.9	 	!! glob. cl. , eB, vRi, vgeCM, st 11...; = M13    	Great Cluster in Hercules          	 6205	
251.8004	 -1.9500	 6218	 Gb	16 47.2	-01 57	s	Oph	 	 14.5	 6.6	 	!! glob. cl. , vB, vL, iR, gmbM, rrr, st 10...; = 	M  12                              	 6218	
254.2754	 -4.1000	 6254	 Gb	16 57.1	-04 06	s	Oph	 	 15.1	 6.6	 	! glob. cl. , B, vL, R, gvmbM, rrr, st 10...15; = 	M  10                              	 6254	
255.3004	-30.1167	 6266	 Gb	17 01.2	-30 07	s	Oph	 	 14.1	 6.6	 	! glob. cl. , vB, L, gmbM, rrr, st 14...16; = M62 	M  62                              	 6266	
255.6504	-26.2667	 6273	 Gb	17 02.6	-26 16	s	Oph	 	 13.5	 7.2	 	glob. cl. , vB, L, R, vCM, rrr, st 16; = M19      	M  19                              	 6273	
258.4254	-37.1000	 6302	 Pl	17 13.7	-37 06	s	Sco	 	  0.8	13.0	p	pB, E pf, PN                                      	Bug nebula                         	 6302	
258.5254	-12.9167	 6309	 Pl	17 14.1	-12 55	s	Oph	 	  1.1	11.0	p	close Dneb, 160deg , both B, eS                   	Box nebula                         	 6309	
259.2754	+43.1334	 6341	 Gb	17 17.1	+43 08	s	Her	 	 11.2	 6.5	 	glob. cl. , vB, vL, eCM, rrr, st S; = M92         	M  92                              	 6341	
259.8004	-18.5167	 6333	 Gb	17 19.2	-18 31	s	Oph	 	  9.3	 7.9	 	glob. cl. , B, L, R, eCM, rrr, st 14; = M9        	M   9                              	 6333	
264.4004	 -3.2500	 6402	 Gb	17 37.6	-03 15	s	Oph	 	 11.7	 7.6	 	! glob. cl. , B, vL, R, eRi, vgmbM, rrr, st 15; = 	M  14                              	 6402	
265.0254	-32.2167	 6405	 OC	17 40.1	-32 13	s	Sco	 	 15.0	 4.2	 	Cl, L, iR, lC, st 7, 10...; = M6                  	M   6                              	 6405	
265.0254	-32.2167	 6405	 OC	17 40.1	-32 13	s	Sco	 	 15.0	 4.2	 	Cl, L, iR, lC, st 7, 10...; = M6                  	Butterfly cluster                  	 6405	
267.3004	-20.0167	 6445	 Pl	17 49.2	-20 01	s	Sgr	 	  0.6	13.0	p	pB, pS, R, gbM, r, *15 np                         	Little Gem                         	 6445	
268.4754	-34.8167	 6475	 OC	17 53.9	-34 49	s	Sco	 	 80.0	 3.3	 	Cl, vB, pRi, lC, st 7...12; = M7                  	M   7                              	 6475	
269.2004	-19.0167	 6494	 OC	17 56.8	-19 01	s	Sgr	 	 27.0	 5.5	 	Cl, B, vL, pRi, lC, st 10...; = M23               	M  23                              	 6494	
270.5754	-23.0333	 6514	C+N	18 02.3	-23 02	s	Sgr	 	 29.0	 6.3	 	!!! vB, vL, trifid, D* inv; = M20                 	Trifid nebula                      	 6514	
270.5754	-23.0333	 6514	C+N	18 02.3	-23 02	s	Sgr	 	 29.0	 6.3	 	!!! vB, vL, trifid, D* inv; = M20                 	M  20                              	 6514	
270.9504	-24.3833	 6523	 Nb	18 03.8	-24 23	s	Sgr	 	 90.0	 5.8	 	!!! vB, eL, eiF, with L Cl; = M8                  	M   8                              	 6523	
270.9504	-24.3833	 6523	 Nb	18 03.8	-24 23	s	Sgr	 	 90.0	 5.8	 	!!! vB, eL, eiF, with L Cl; = M8                  	Lagoon nebula                      	 6523	
270.9504	-24.3833	 6523	 Nb	18 03.8	-24 23	s	Sgr	 	 90.0	 5.8	 	!!! vB, eL, eiF, with L Cl; = M8                  	Hourglass nebula                   	 6523	(Brightest part of NGC 6523)
271.1504	-22.5000	 6531	 OC	18 04.6	-22 30	s	Sgr	 	 13.0	 5.9	 	Cl, pRi, lC, st 9...12; = M21                     	M  21                              	 6531	
274.7004	-13.7833	 6611	C+N	18 18.8	-13 47	s	Ser	 	 35.0	 6.0	 	Cl, at least 100 st L & S; = M16                  	M  16                              	 6611	
274.7004	-13.7833	 6611	C+N	18 18.8	-13 47	s	Ser	 	 35.0	 6.0	 	Cl, at least 100 st L & S; = M16                  	Eagle nebula                       	 6611	(but sometimes I2177)
274.7254	-13.7833	I4703	 OC	18 18.9	-13 47	x	Ser	 	     	    	 	B, eL, Cl M16 inv                                 	Star Queen nebula                  	I4703	
274.9754	-17.1333	 6613	 OC	18 19.9	-17 08	s	Sgr	 	  9.0	 6.9	 	Cl, P, vlC; = M18                                 	M  18                              	 6613	
275.2004	-16.1833	 6618	C+N	18 20.8	-16 11	s	Sgr	 	 46.0	 6.0	 	!!!, B, eL, eiF, 2 hooked; = M17                  	Omega nebula                       	 6618	
275.2004	-16.1833	 6618	C+N	18 20.8	-16 11	s	Sgr	 	 46.0	 6.0	 	!!!, B, eL, eiF, 2 hooked; = M17                  	M  17                              	 6618	
276.1254	-24.8667	 6626	 Gb	18 24.5	-24 52	s	Sgr	 	 11.2	 6.9	 	!, glob. cl. , vB, L, R, geCM, rrr, st 14...16; = 	M  28                              	 6626	
277.8504	-32.3500	 6637	 Gb	18 31.4	-32 21	s	Sgr	 	  7.1	 7.7	 	glob. cl. , B, L, R, rrr, st 14...16; = M69       	M  69                              	 6637	
277.9004	-19.2500	I4725	 OC	18 31.6	-19 15	s	Sgr	 	 32.0	 4.6	 	Cl, pC; = M25                                     	M  25                              	I4725	
279.1004	-23.9000	 6656	 Gb	18 36.4	-23 54	s	Sgr	 	 24.0	 5.1	 	!!, glob. cl. , vB, vL, R, vRi, vmC, st 11...15; M	M  22                              	 6656	
280.8004	-32.3000	 6681	 Gb	18 43.2	-32 18	s	Sgr	 	  7.8	 8.1	 	glob. cl. , B, pL, R, gbM, st 14...17; = M70      	M  70                              	 6681	
281.3004	 -9.4000	 6694	 OC	18 45.2	-09 24	s	Sct	 	 15.0	 8.0	 	Cl, cL, pRi, pC, st 12...15; = M26                	M  26                              	 6694	
282.7754	 -6.2667	 6705	 OC	18 51.1	-06 16	s	Sct	 	 14.0	 5.8	 	!, Cl, vB, L, iR, Ri, *9, st 11...; = M11         	Wild Duck cluster                  	 6705	
282.7754	 -6.2667	 6705	 OC	18 51.1	-06 16	s	Sct	 	 14.0	 5.8	 	!, Cl, vB, L, iR, Ri, *9, st 11...; = M11         	M  11                              	 6705	
283.4004	+33.0333	 6720	 Pl	18 53.6	+33 02	s	Lyr	 	  2.5	 9.0	 	!!!, ring , B, pL, cE (in Lyra); = M57            	Ring nebula in Lyra                	 6720	
283.4004	+33.0333	 6720	 Pl	18 53.6	+33 02	s	Lyr	 	  2.5	 9.0	 	!!!, ring , B, pL, cE (in Lyra); = M57            	M  57                              	 6720	
283.7754	-30.4833	 6715	 Gb	18 55.1	-30 29	s	Sgr	 	  9.1	 7.7	 	glob. cl. , vB, L, R, g, smbM, rrr, st 15; = M54  	M  54                              	 6715	
289.1504	+30.1833	 6779	 Gb	19 16.6	+30 11	s	Lyr	 	  7.1	 8.3	 	glob. cl. , B, L, iR, gvmCM, rrr, st 11...14; = M5	M  56                              	 6779	
295.0004	-30.9666	 6809	 Gb	19 40.0	-30 58	s	Sgr	 	 19.0	 7.0	 	glob. cl. , pB, L, R, vRi, vgbM, st 12...15; = M55	M  55                              	 6809	
296.2005	+50.5167	 6826	 Pl	19 44.8	+50 31	s	Cyg	 	  2.3	10.0	p	PN , B, pL, R, *11 M                              	Blinking planetary                 	 6826	
296.2254	-14.8000	 6822	 Gx	19 44.9	-14 48	s	Sgr	 	 10.2	 9.0	p	vF, vS, E, dif; = IC 4895                         	Barnard's galaxy                   	 6822	
298.4504	+18.7833	 6838	 Gb	19 53.8	+18 47	s	Sge	 	  7.2	 8.3	 	Cl, vL, vRi, pmC, st 11...16; = M71               	M  71                              	 6838	
299.9004	+22.7167	 6853	 Pl	19 59.6	+22 43	s	Vul	 	 15.2	 8.1	 	!!!, vB, vL, biN, iE (Dumbbell); = M27            	M  27                              	 6853	
299.9004	+22.7167	 6853	 Pl	19 59.6	+22 43	s	Vul	 	 15.2	 8.1	 	!!!, vB, vL, biN, iE (Dumbbell); = M27            	Dumbbell nebula                    	 6853	
301.5254	-21.9166	 6864	 Gb	20 06.1	-21 55	s	Sgr	 	  6.0	 8.6	 	glob. cl. , B, pL, R, vmbMBN, rr; = M75           	M  75                              	 6864	
303.0004	+38.3500	 6888	 Nb	20 12.0	+38 21	s	Cyg	 	 20.0	    	 	F, vL, vmE, **  att                               	Crescent nebula                    	 6888	
305.5504	+40.2500	I1318	   	20 22.2	+40 15	d	Cyg	 	240.0	    	 	gamma Cyg, surr by L patches of F neby            	gamma Cyg nebula                   	I1318	
305.9754	+38.5333	 6913	 OC	20 23.9	+38 32	s	Cyg	 	  7.0	 6.6	 	Cl, P, lC, st L and S; = M29                      	M  29                              	 6913	
311.4254	+30.7167	 6960	 Nb	20 45.7	+30 43	s	Cyg	 	 70.0	    	 	!! pB, cL, eiF, 52 Cyg inv                        	Veil nebula                        	 6960	NGC 6960, 92, 95
311.4254	+30.7167	 6960	 Nb	20 45.7	+30 43	s	Cyg	 	 70.0	    	 	!! pB, cL, eiF, 52 Cyg inv                        	Lace-work nebula                   	 6960	(see Filamentary)
311.4254	+30.7167	 6960	 Nb	20 45.7	+30 43	s	Cyg	 	 70.0	    	 	!! pB, cL, eiF, 52 Cyg inv                        	Filamentary nebula                 	 6960	(part of the Veil nebula)=
311.9504	+44.3666	I5067	   	20 47.8	+44 22	d	Cyg	 	     	    	 	F                                                 	Pelican nebula                     	I5067	I5067, 70
312.7004	+44.3500	I5070	 Nb	20 50.8	+44 21	s	Cyg	 	 80.0	    	 	F, dif                                            	Pelican nebula                     	I5070	I5067, 70
313.3754	-12.5333	 6981	 Gb	20 53.5	-12 32	s	Aqr	 	  5.9	 9.4	 	glob. cl. , pB, pL, R, gmCM, rrr; = M72           	M  72                              	 6981	
314.1004	+31.7166	 6992	 Nb	20 56.4	+31 43	s	Cyg	 	 60.0	    	 	!!, eF, eL, eE, eiF, bifurcated                   	Veil nebula                        	 6992	NGC 6960, 92, 95
314.1004	+31.7166	 6992	 Nb	20 56.4	+31 43	s	Cyg	 	 60.0	    	 	!!, eF, eL, eE, eiF, bifurcated                   	Network nebula                     	 6992	(part of the Veil nebula)
314.2754	+31.2166	 6995	 Nb	20 57.1	+31 13	s	Cyg	 	 12.0	    	 	F, eL, neb & st in groups                         	Veil nebula                        	 6995	NGC 6960, 92, 95
314.2754	+31.2166	 6995	 Nb	20 57.1	+31 13	s	Cyg	 	 12.0	    	 	F, eL, neb & st in groups                         	Network nebula                     	 6995	(part of the Veil nebula)
314.7004	+44.3333	 7000	 Nb	20 58.8	+44 20	s	Cyg	 	120.0	    	 	F, eeL, dif nebulosity                            	North America nebula               	 7000	
314.7504	-12.6333	 6994	 OC	20 59.0	-12 38	s	Aqr	 	  3.0	 9.0	p	Cl, eP, vlC, no neb; = M73                        	M  73                              	 6994	
316.0504	-11.3666	 7009	 Pl	21 04.2	-11 22	s	Aqr	 	  1.7	 8.0	p	!!!, PN , vB, S, elliptic                         	Saturn nebula                      	 7009	
322.5004	+12.1667	 7078	 Gb	21 30.0	+12 10	s	Peg	 	 12.3	 6.4	 	!, glob. cl. , vB, vL, iR, vsmbM, rrr, st vS; = M1	M  15                              	 7078	
323.0504	+48.4333	 7092	 OC	21 32.2	+48 26	s	Cyg	 	 32.0	 4.6	 	Cl, vL, vP, vlC, st 7...10; = M39                 	M  39                              	 7092	
323.3504	 -0.3833	 7088	  -	21 33.4	-00 23	r	Aqr	 	     	    	 	eF, eL, dif, E pf, n of M2                        	Baxendell's unphotographable nebula	 7088	
323.3754	 -0.8167	 7089	 Gb	21 33.5	-00 49	s	Aqr	 	 12.9	 6.5	 	!!, glob. cl. , B, vL, gpmbM, rrr, st eS; = M2    	M   2                              	 7089	
325.1004	-23.1833	 7099	 Gb	21 40.4	-23 11	s	Cap	 	 11.0	 7.5	 	!, glob. cl. , B, L, lE, gpmbM, st 12...16; = M30 	M  30                              	 7099	
328.3504	+47.2666	I5146	C+N	21 53.4	+47 16	s	Cyg	 	 12.0	 7.2	 	pB, vL, iF, *9.5 in M                             	Cocoon nebula                      	I5146	
337.4004	-20.8000	 7293	 Pl	22 29.6	-20 48	s	Aqr	 	 12.8	    	 	! pF, vL, E or biN                                	Helix nebula                       	 7293	
338.9754	+33.9500	 7317	 Gx	22 35.9	+33 57	s	Peg	 	  1.0	13.6	 	vF, vS                                            	Stephan's Quintet                  	 7317	NGC 7317-20
339.0004	+33.9666	 7318	 Gx	22 36.0	+33 58	s	Peg	 	  1.9	13.1	 	eF, eS                                            	Stephan's Quintet                  	 7318	NGC 7317-20
339.0254	+33.9833	 7319	 Gx	22 36.1	+33 59	s	Peg	 	  1.7	13.1	 	eF, eS                                            	Stephan's Quintet                  	 7319	NGC 7317-20
339.0254	+33.9500	 7320	 Gx	22 36.1	+33 57	s	Peg	 	  2.2	12.7	 	F, vS                                             	Stephan's Quintet                  	 7320	NGC 7317-20
350.1754	+61.1999	 7635	 Nb	23 20.7	+61 12	s	Cas	 	 15.0	    	 	vF, *8 inv l excentric                            	Bubble nebula                      	 7635	
351.0504	+61.5833	 7654	 OC	23 24.2	+61 35	s	Cas	 	 13.0	 6.9	 	Cl, L, Ri, mCM, R, st 9...13; = M52               	M  52                              	 7654	
351.4754	+42.5499	 7662	 Pl	23 25.9	+42 33	s	And	 	  2.2	 9.0	p	!!! PN  or ring , vB, pS, R, blue, variable Nucl  	Blue Snowball                      	 7662	
